Model,MAE,RMSE,MAPE_percent,R2
XGBoost,31388.6559332089,42801.91434581622,3.5632038796761014,0.9319781984056187
CatBoost,30966.38462359419,44396.647469795345,3.5588713292760885,0.9268149968346769
HistGradientBoosting,31601.480168638576,45729.87687998418,3.5591368821705083,0.9223535137402744
GradientBoosting,33591.42654184907,47206.00830437096,3.898380630096897,0.9172598507367602
ExtraTrees,35189.55903219186,49469.45191881441,3.947295190846095,0.9091351444219877
RandomForest,35074.654814880785,50232.16491677908,3.9849439145738614,0.9063116619765288
Ridge,63947.21940062001,73396.6902844889,7.792654600138012,0.7999794136281917
WeightedEnsemble,30421.211228407636,42676.846863071805,3.4593077675089643,0.9323751379542496
